pathogen_type,iso3_country,canonical_organism,canonical_drug,static_burden_midpoint,evolutionary_trajectory_slope,n_tested_total,low_n_flag,cluster_id,cluster_label,version,date_added,burden_percentile,trajectory_percentile,composite_priority_score,typology_label,typology_rank,methodology,quality_gate,gate_reason,n_master_rows,n_interpretable_rows,typology_rank_ungated
fungal,BEL,Candida tropicalis,Flucytosine,0.6666666666666666,-3.5000000000038165,3,True,1,cluster_1,v1,2026-07-16,99.68944099378882,99.76708074534162,99.72826086956522,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,604,604,1
fungal,SVK,Candida lusitaniae,Flucytosine,0.5,-5.999999999999127,2,True,1,cluster_1,v1,2026-07-16,98.87422360248446,100.0,99.43711180124222,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,104,104,2
fungal,BEL,Candida lusitaniae,Flucytosine,0.5,-2.3333333333329382,2,True,1,cluster_1,v1,2026-07-16,98.87422360248446,99.68944099378882,99.28183229813664,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,104,104,3
fungal,IND,Candida albicans,Posaconazole,0.3333333333333333,-4.529446844526125,3,True,1,cluster_1,v1,2026-07-16,97.43788819875776,99.9223602484472,98.68012422360248,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,9784,9784,4
fungal,IND,Candida albicans,Itraconazole,0.3333333333333333,-3.52944684452627,3,True,1,cluster_1,v1,2026-07-16,97.43788819875776,99.8447204968944,98.6413043478261,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,7795,7795,5
fungal,AUS,Candida lusitaniae,Flucytosine,0.25,-1.7500000000005298,4,True,0,cluster_0,v1,2026-07-16,95.96273291925466,99.37888198757764,97.67080745341616,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,104,104,6
fungal,GBR,Candida tropicalis,Flucytosine,0.25,-1.750000000000344,8,True,0,cluster_0,v1,2026-07-16,95.96273291925466,99.30124223602483,97.63198757763976,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,604,604,7
fungal,GBR,Aspergillus fumigatus,Itraconazole,0.2777777777777778,-0.999999999999662,18,True,0,cluster_0,v1,2026-07-16,96.58385093167702,97.59316770186336,97.0885093167702,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,2084,2084,8
fungal,PRT,Candida lusitaniae,Posaconazole,0.5,-0.5000000000000611,2,True,1,cluster_1,v1,2026-07-16,98.87422360248446,95.3027950310559,97.08850931677016,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,416,416,9
fungal,FRA,Candida guilliermondii,Itraconazole,0.5,-0.4999999999999859,2,True,1,cluster_1,v1,2026-07-16,98.87422360248446,94.95341614906832,96.9138198757764,high_burden_high_trajectory,,"Per pathogen type, rank static_burden_midpoint and -evolutionary_trajectory_slope as percentile scores; typology labels use top quartile (>=75th pct) thresholds: high_burden_high_trajectory, high_burden, high_trajectory, or moderate. Includes Stage 3 cluster_id for context. Integrity layer quality_gate derived from identifiability ledger rules (AMR_2026_COMBINED_EXECUTION_PLAN §5): interpretable classification → pass; breakpoint-absent / majority unclassifiable → bounds_only or withhold; confounded intervention LE estimates → withhold rank.",bounds_only,breakpoint_absent_drug_justice_section_4_4,123,123,10
